comment,age_group,comment_length,word_count,processed_tokens,processed_text
considering downsizing our home!,35-49,32,4,"['considering', 'downsizing', 'home']",considering downsizing home
lowkey obsessed with this!!!,<18,28,4,"['lowkey', 'obsessed']",lowkey obsessed
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
networking event tonight!,18-24,25,3,"['networking', 'event', 'tonight']",networking event tonight
lowkey with this,<18,16,3,['lowkey'],lowkey
LOWKEY OBSESSED WITH THIS,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
omg this is so lit!,<18,19,5,"['omg', 'lit']",omg lit
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
proud my children's accomplishments,35-49,35,4,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
retirement is wonderful!!!,50+,26,3,"['retirement', 'wonderful']",retirement wonderful
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
SLAY QUEEN,<18,10,2,"['slay', 'queen']",slay queen
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
networking event tonight!!!,18-24,27,3,"['networking', 'event', 'tonight']",networking event tonight
apartment is stressful!!,18-24,24,3,"['apartment', 'stressful']",apartment stressful
omg this is so lit!!!,<18,21,5,"['omg', 'lit']",omg lit
bruh moment fr!,<18,15,3,"['bruh', 'moment', 'fr']",bruh moment fr
home renovation project!!,25-34,25,3,"['home', 'renovation', 'project']",home renovation project
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
yeet,<18,4,1,['yeet'],yeet
proud of my children's accomplishments!!,35-49,40,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
senior discount is the best part!!,50+,34,6,"['senior', 'discount', 'best', 'part']",senior discount best part
INVESTING FOR RETIREMENT,25-34,24,3,"['investing', 'retirement']",investing retirement
THAT'S SUS,<18,10,2,"['thats', 'sus']",thats sus
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
big mood,<18,8,2,"['big', 'mood']",big mood
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
senior discount is the best part!,50+,33,6,"['senior', 'discount', 'best', 'part']",senior discount best part
slay queen,<18,10,2,"['slay', 'queen']",slay queen
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
my daughter is honestly graduating college!!!,35-49,45,6,"['daughter', 'honestly', 'graduating', 'college']",daughter honestly graduating college
ADULTING IS HARD,18-24,16,3,"['adulting', 'hard']",adulting hard
TECHNOLOGY MOVES ABSOLUTELY TOO FAST,50+,36,5,"['technology', 'move', 'absolutely', 'fast']",technology move absolutely fast
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
blood pressure medication,35-49,25,3,"['blood', 'pressure', 'medication']",blood pressure medication
that's sus,<18,10,2,"['thats', 'sus']",thats sus
REUNION WITH OLD FRIENDS,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
need to schedule a doctor appointment!!,25-34,39,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
looking forward to the weekend!!,25-34,32,5,"['looking', 'forward', 'weekend']",looking forward weekend
big mood,<18,8,2,"['big', 'mood']",big mood
yeet,<18,4,1,['yeet'],yeet
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
CONSIDERING DOWNSIZING OUR HOME,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
investing for retirement!!!,25-34,27,3,"['investing', 'retirement']",investing retirement
senior discount is the best part!!,50+,34,6,"['senior', 'discount', 'best', 'part']",senior discount best part
PARENT-TEACHER CONFERENCE TODAY!!,25-34,33,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
my kids are driving me crazy!!!,25-34,31,6,"['kid', 'driving', 'crazy']",kid driving crazy
that's sus,<18,10,2,"['thats', 'sus']",thats sus
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
mortgage rates kinda are insane,25-34,31,5,"['mortgage', 'rate', 'kinda', 'insane']",mortgage rate kinda insane
thinking about changing careers!,25-34,32,4,"['thinking', 'changing', 'career']",thinking changing career
bruh moment fr!!!,<18,17,3,"['bruh', 'moment', 'fr']",bruh moment fr
my student loans are killing me!!!,18-24,34,6,"['student', 'loan', 'killing']",student loan killing
empty nest syndrome totally is real,35-49,35,6,"['empty', 'nest', 'syndrome', 'totally', 'real']",empty nest syndrome totally real
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
lowkey obsessed with this!!!,<18,28,4,"['lowkey', 'obsessed']",lowkey obsessed
reunion super with old friends,35-49,30,5,"['reunion', 'super', 'old', 'friend']",reunion super old friend
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
grandchildren visiting this weekend!!!,35-49,38,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
NEED COFFEE TO FUNCTION,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
that's sus!,<18,11,2,"['thats', 'sus']",thats sus
vibing with my besties!!!,<18,25,4,"['vibing', 'besties']",vibing besties
technology moves too fast!,50+,26,4,"['technology', 'move', 'fast']",technology move fast
back in my day,50+,14,4,"['back', 'day']",back day
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
GRANDCHILDREN VISITING THIS WEEKEND,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
working remote has pros and totally cons,18-24,40,7,"['working', 'remote', 'pro', 'totally', 'con']",working remote pro totally con
blood pressure medication!!!,35-49,28,3,"['blood', 'pressure', 'medication']",blood pressure medication
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
dating apps are the worst!!,18-24,27,5,"['dating', 'apps', 'worst']",dating apps worst
slay queen,<18,10,2,"['slay', 'queen']",slay queen
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
rates are insane!!!,25-34,19,3,"['rate', 'insane']",rate insane
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
ADULTING IS HARD,18-24,16,3,"['adulting', 'hard']",adulting hard
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
just meal prepped for the week!!!,18-24,33,6,"['meal', 'prepped', 'week']",meal prepped week
managing aging and grown kids!!,35-49,31,5,"['managing', 'aging', 'grown', 'kid']",managing aging grown kid
this is fire,<18,12,3,['fire'],fire
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
literally just meal prepped for the week,18-24,40,7,"['literally', 'meal', 'prepped', 'week']",literally meal prepped week
senior is the best part!!,50+,25,5,"['senior', 'best', 'part']",senior best part
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
yeet,<18,4,1,['yeet'],yeet
working remote has pros and cons!!!,18-24,35,6,"['working', 'remote', 'pro', 'con']",working remote pro con
THIS IS FIRE,<18,12,3,['fire'],fire
vibing with my besties!!,<18,24,4,"['vibing', 'besties']",vibing besties
APARTMENT HUNTING IS STRESSFUL!!,18-24,32,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
big mood,<18,8,2,"['big', 'mood']",big mood
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
need coffee to function!,18-24,24,4,"['need', 'coffee', 'function']",need coffee function
reunion with old friends!!,35-49,26,4,"['reunion', 'old', 'friend']",reunion old friend
considering downsizing totally our home,35-49,39,5,"['considering', 'downsizing', 'totally', 'home']",considering downsizing totally home
PARENT-TEACHER CONFERENCE TODAY,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
doctor appointments week,50+,24,3,"['doctor', 'appointment', 'week']",doctor appointment week
omg is so lit,<18,13,4,"['omg', 'lit']",omg lit
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
retirement is wonderful!!!,50+,26,3,"['retirement', 'wonderful']",retirement wonderful
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
BRIDGE CLUB MEETING!!,50+,21,3,"['bridge', 'club', 'meeting']",bridge club meeting
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
home renovation project!,25-34,24,3,"['home', 'renovation', 'project']",home renovation project
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
side hustle really paying off,18-24,29,5,"['side', 'hustle', 'really', 'paying']",side hustle really paying
my daughter is graduating college,35-49,33,5,"['daughter', 'graduating', 'college']",daughter graduating college
BACK IN MY DAY!!,50+,16,4,"['back', 'day']",back day
bridge club meeting!!!,50+,22,3,"['bridge', 'club', 'meeting']",bridge club meeting
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
need to schedule a appointment!!!,25-34,33,5,"['need', 'schedule', 'appointment']",need schedule appointment
just meal really prepped for the week,18-24,37,7,"['meal', 'really', 'prepped', 'week']",meal really prepped week
no cap this slaps!,<18,18,4,"['cap', 'slap']",cap slap
managing aging parents and grown kids!!!,35-49,40,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
that's sus!!!,<18,13,2,"['thats', 'sus']",thats sus
TECHNOLOGY MOVES FAST,50+,21,3,"['technology', 'move', 'fast']",technology move fast
big mood!!,<18,10,2,"['big', 'mood']",big mood
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
my student are killing me,18-24,25,5,"['student', 'killing']",student killing
no cap this slaps!!,<18,19,4,"['cap', 'slap']",cap slap
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
hunting is stressful,18-24,20,3,"['hunting', 'stressful']",hunting stressful
looking forward to the,25-34,22,4,"['looking', 'forward']",looking forward
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
omg very this is so lit,<18,23,6,"['omg', 'lit']",omg lit
grandchildren are such a blessing!,50+,34,5,"['grandchild', 'blessing']",grandchild blessing
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
trip next week!,25-34,15,3,"['trip', 'next', 'week']",trip next week
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
health insurance costs are rising!!!,35-49,36,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
LOWKEY OBSESSED WITH THIS,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
grandchildren visiting weekend!,35-49,31,3,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
yeet!!,<18,6,1,['yeet'],yeet
empty nest syndrome is real,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
thinking about changing careers!,25-34,32,4,"['thinking', 'changing', 'career']",thinking changing career
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
slay queen,<18,10,2,"['slay', 'queen']",slay queen
considering downsizing our home!,35-49,32,4,"['considering', 'downsizing', 'home']",considering downsizing home
senior discount is actually the best part,50+,41,7,"['senior', 'discount', 'actually', 'best', 'part']",senior discount actually best part
empty nest syndrome really is real,35-49,34,6,"['empty', 'nest', 'syndrome', 'really', 'real']",empty nest syndrome really real
empty nest syndrome really is real,35-49,34,6,"['empty', 'nest', 'syndrome', 'really', 'real']",empty nest syndrome really real
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
PARENT-TEACHER CONFERENCE TODAY,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
about changing careers,25-34,22,3,"['changing', 'career']",changing career
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
MANAGING AGING PARENTS AND GROWN KIDS,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
empty nest syndrome real!!!,35-49,27,4,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
investing for retirement!,25-34,25,3,"['investing', 'retirement']",investing retirement
SENIOR DISCOUNT IS THE BEST PART,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
no cap slaps,<18,12,3,"['cap', 'slap']",cap slap
just honestly finished my finals!!,18-24,34,5,"['honestly', 'finished', 'final']",honestly finished final
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
this is fire!!,<18,14,3,['fire'],fire
empty nest syndrome is kinda real,35-49,33,6,"['empty', 'nest', 'syndrome', 'kinda', 'real']",empty nest syndrome kinda real
my kids are driving me crazy!!!,25-34,31,6,"['kid', 'driving', 'crazy']",kid driving crazy
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
vibing with my besties!!!,<18,25,4,"['vibing', 'besties']",vibing besties
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
remember when phones had cords!!!,50+,33,5,"['remember', 'phone', 'cord']",remember phone cord
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
OMG THIS IS SO LIT,<18,18,5,"['omg', 'lit']",omg lit
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
apartment hunting is stressful!!!,18-24,33,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
no cap this slaps!!!,<18,20,4,"['cap', 'slap']",cap slap
managing aging parents and kids,35-49,31,5,"['managing', 'aging', 'parent', 'kid']",managing aging parent kid
omg this is so lit!!!,<18,21,5,"['omg', 'lit']",omg lit
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
big mood!!!,<18,11,2,"['big', 'mood']",big mood
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
mortgage rates are insane!!,25-34,27,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
this is fire,<18,12,3,['fire'],fire
PLANNING FOR RETIREMENT,35-49,23,3,"['planning', 'retirement']",planning retirement
side hustle off,18-24,15,3,"['side', 'hustle']",side hustle
TECHNOLOGY MOVES TOO FAST,50+,25,4,"['technology', 'move', 'fast']",technology move fast
health insurance costs are rising!,35-49,34,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
this is fire!!,<18,14,3,['fire'],fire
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
CONSIDERING DOWNSIZING OUR HOME!,35-49,32,4,"['considering', 'downsizing', 'home']",considering downsizing home
that's sus,<18,10,2,"['thats', 'sus']",thats sus
thinking changing careers!,25-34,26,3,"['thinking', 'changing', 'career']",thinking changing career
reunion with old friends!,35-49,25,4,"['reunion', 'old', 'friend']",reunion old friend
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
yeet,<18,4,1,['yeet'],yeet
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
blood pressure medication!!!,35-49,28,3,"['blood', 'pressure', 'medication']",blood pressure medication
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
investing for retirement!!!,25-34,27,3,"['investing', 'retirement']",investing retirement
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
apartment hunting is stressful!!,18-24,32,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
doctor appointments every week!,50+,31,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
slay queen,<18,10,2,"['slay', 'queen']",slay queen
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
back in my day!!!,50+,17,4,"['back', 'day']",back day
lowkey obsessed with this!!!,<18,28,4,"['lowkey', 'obsessed']",lowkey obsessed
grandchildren visiting this weekend!!!,35-49,38,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
apartment hunting is stressful!!,18-24,32,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
home renovation project!!!,25-34,26,3,"['home', 'renovation', 'project']",home renovation project
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
retirement is wonderful!!!,50+,26,3,"['retirement', 'wonderful']",retirement wonderful
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
dating apps are the worst!!,18-24,27,5,"['dating', 'apps', 'worst']",dating apps worst
that's sus!!,<18,12,2,"['thats', 'sus']",thats sus
just finished my finals!!!,18-24,26,4,"['finished', 'final']",finished final
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
yeet,<18,4,1,['yeet'],yeet
side hustle paying off!!!,18-24,25,4,"['side', 'hustle', 'paying']",side hustle paying
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
absolutely grandchildren are such a blessing,50+,44,6,"['absolutely', 'grandchild', 'blessing']",absolutely grandchild blessing
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
blood pressure medication!!!,35-49,28,3,"['blood', 'pressure', 'medication']",blood pressure medication
just meal for the week!,18-24,23,5,"['meal', 'week']",meal week
big mood,<18,8,2,"['big', 'mood']",big mood
literally work-life balance is important,25-34,40,5,"['literally', 'worklife', 'balance', 'important']",literally worklife balance important
blood pressure medication!!,35-49,27,3,"['blood', 'pressure', 'medication']",blood pressure medication
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
OMG THIS IS SO ABSOLUTELY LIT,<18,29,6,"['omg', 'absolutely', 'lit']",omg absolutely lit
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
HOME RENOVATION PROJECT,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
grandchildren visiting this weekend!!!,35-49,38,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
YEET!!,<18,6,1,['yeet'],yeet
apartment hunting is stressful!!,18-24,32,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
my very daughter is graduating college!!,35-49,40,6,"['daughter', 'graduating', 'college']",daughter graduating college
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
this is fire,<18,12,3,['fire'],fire
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
home renovation project!,25-34,24,3,"['home', 'renovation', 'project']",home renovation project
this is fire,<18,12,3,['fire'],fire
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
business trip next week!!,25-34,25,4,"['business', 'trip', 'next', 'week']",business trip next week
apartment hunting is stressful!!,18-24,32,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
my daughter is graduating college!!,35-49,35,5,"['daughter', 'graduating', 'college']",daughter graduating college
working remote has pros kinda and cons!!!,18-24,41,7,"['working', 'remote', 'pro', 'kinda', 'con']",working remote pro kinda con
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
nest syndrome is real,35-49,21,4,"['nest', 'syndrome', 'real']",nest syndrome real
slay queen,<18,10,2,"['slay', 'queen']",slay queen
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
ADULTING IS HARD,18-24,16,3,"['adulting', 'hard']",adulting hard
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
just meal prepped for week!!,18-24,28,5,"['meal', 'prepped', 'week']",meal prepped week
that's sus,<18,10,2,"['thats', 'sus']",thats sus
doctor appointments every week!!!,50+,33,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
just finished finals!!,18-24,22,3,"['finished', 'final']",finished final
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
this is fire,<18,12,3,['fire'],fire
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
need to schedule a doctor appointment!,25-34,38,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
business trip next week!!!,25-34,26,4,"['business', 'trip', 'next', 'week']",business trip next week
MY REALLY DAUGHTER IS GRADUATING COLLEGE!!,35-49,42,6,"['really', 'daughter', 'graduating', 'college']",really daughter graduating college
back in my day,50+,14,4,"['back', 'day']",back day
looking forward to the weekend,25-34,30,5,"['looking', 'forward', 'weekend']",looking forward weekend
actually dating apps are the worst,18-24,34,6,"['actually', 'dating', 'apps', 'worst']",actually dating apps worst
technology too fast!!!,50+,22,3,"['technology', 'fast']",technology fast
slay queen!!!,<18,13,2,"['slay', 'queen']",slay queen
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
back in my day,50+,14,4,"['back', 'day']",back day
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
JUST MEAL PREPPED FOR WEEK!,18-24,27,5,"['meal', 'prepped', 'week']",meal prepped week
empty nest syndrome is real!!!,35-49,30,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
grandchildren are such a basically blessing,50+,43,6,"['grandchild', 'basically', 'blessing']",grandchild basically blessing
REMEMBER WHEN PHONES HAD CORDS!!!,50+,33,5,"['remember', 'phone', 'cord']",remember phone cord
